source,date,headline,url,chosen_label,positive,negative,neutral,compound
Global,2024-03-21,"Canadians under 30 ‘very unhappy,’ World Happiness Report finds",https://globalnews.ca/video/10374177/canadians-under-30-very-unhappy-world-happiness-report-finds/,negative,0.0073554805,0.83449167,0.15815271,-0.696322380429355
Global,2024-03-21,Canadian woman shot dead outside convenience store in Mexico,https://globalnews.ca/news/10374987/canadian-woman-shot-dead-outside-convenience-store-in-mexico/,negative,0.014264016,0.4629116,0.5228243,-0.21408373273814618
Global,2024-03-21,"5 students ingest edibles brought to Halifax elementary school, taken to hospital: police",https://globalnews.ca/news/10374770/halifax-springvale-elementary-students-ingest-cannabis-edibles/,negative,0.010180694,0.6011857,0.3886336,-0.36132057426694075
Global,2024-03-21,Growing population means record spending in 2024 Sask. budget,https://globalnews.ca/news/10376419/saskatchewan-budget-2024-record-spending-growing-population/,positive,0.549503,0.011502005,0.43899503,0.30182123347493395
Global,2024-03-21,Vancouver police chief on release of suspect in violent offences,https://globalnews.ca/video/10376651/vancouver-police-chief-on-release-of-suspect-in-violent-offences/,negative,0.017493445,0.27409282,0.7084138,-0.07482083944806206
Global,2024-03-21,N.S. community opposes new pallet shelter location,https://globalnews.ca/video/10376575/n-s-community-opposes-new-pallet-shelter-location/,negative,0.009618024,0.55713147,0.43325043,-0.3103029998942475
Global,2024-03-21,Rose Hanbury addresses Prince William affair rumours,https://globalnews.ca/news/10373155/rose-hanbury-denies-affair-prince-william/,neutral,0.03151318,0.034975868,0.9335109,-0.00023023095275043204
Global,2024-03-21,The kids are not OK. New data shows Canadians under-30 ‘very unhappy’,https://globalnews.ca/news/10372813/canada-world-happiness-report-2024/,negative,0.0056056785,0.91397464,0.08041966,-0.8353182237506331
Global,2024-03-21,Carbon tax debate: Liberals slam Conservatives’ ‘reckless’ climate plan,https://globalnews.ca/video/10376554/carbon-tax-debate-liberals-slam-conservatives-reckless-climate-plan/,negative,0.010906787,0.67905235,0.31004086,-0.4609931194489185
Global,2024-03-21,"Vernon, Penticton see funding for extreme weather projects, new flood strategy",https://globalnews.ca/news/10376316/vernon-penticton-funding-extreme-weather-projects-flood-strategy/,neutral,0.06005845,0.05953726,0.8804043,6.233169627445356e-05
Global,2024-03-21,RRSP? FHSA? What you should contribute to before tax season deadlines,https://globalnews.ca/video/10286817/rrsp-vs-fhsa-which-one-should-you-contribute-to-before-tax-season-deadlines/,neutral,0.05566391,0.0414022,0.90293384,0.0013843296168269958
Global,2024-03-21,Alberta to increase fuel tax by 4 cents starting April 1,https://globalnews.ca/news/10376342/alberta-to-increase-fuel-tax-by-4-cents-starting-april-1/,neutral,0.041080914,0.13827795,0.82064116,-0.017433147172609686
Global,2024-03-21,Two men switched at birth receive apology from Manitoba’s premier,https://globalnews.ca/video/10376378/two-men-switched-at-birth-receive-apology-from-manitobas-premier/,neutral,0.031217236,0.122133225,0.84664965,-0.013941999619724754
Global,2024-03-21,Saskatchewan legislature members debate cost-of-living pressures post-2024 budget,https://globalnews.ca/news/10376639/saskatchewan-cost-of-living-debate-2024-budget/,neutral,0.02809592,0.0850644,0.8868398,-0.00644656465080673
Global,2024-03-21,Calgarians flee spring snowstorm to seek fun in the sun,https://globalnews.ca/video/10376750/calgarians-flee-spring-snowstorm-to-seek-fun-in-the-sun/,neutral,0.22463274,0.048991144,0.7263762,0.048059725258802644
Global,2024-03-21,"Rogers to deploy 5G cameras, sensors to manage traffic at five Toronto intersections",https://globalnews.ca/news/10376642/rogers-traffic-toronto-sensors/,neutral,0.054305922,0.017125309,0.9285686,0.0026558632315376585
