source,date,headline,url,chosen_label,chosen_label_val,positive,negative,neutral,compound
Global,2023-08-16,"City committee backs plan to allow backyard fireworks in London, Ont.",https://globalnews.ca/news/9898743/city-committee-backs-plan-backyard-fireworks-london/,positive,0.2675012329296891,0.56623375415802,0.2304764986038208,0.20328979194164276,0.2675012329296891
Global,2023-08-16,Ottawa blamed AFN for delays in First Nations policing bill: documents,https://globalnews.ca/news/9899286/first-nations-policing-bill-delays/,negative,-0.9392859426812158,0.015103338286280632,0.9692853093147278,0.015611307695508003,-0.9392859426812158
Global,2023-08-16,Global News Hour at 6 Calgary: Aug. 15,https://globalnews.ca/video/9898939/global-news-hour-at-6-calgary-aug-15-2/,neutral,0.06369166492953049,0.3751165568828583,0.2775261700153351,0.3473571836948395,0.06369166492953049
Global,2023-08-16,21-year-old Barrie man killed in Orillia crash,https://globalnews.ca/news/9899308/highway-12-memorial-avenue-orillia-crash/,negative,-0.6146822991805077,0.10027793049812317,0.7904036641120911,0.10931839048862457,-0.6146822991805077
Global,2023-08-16,"Trump, 18 others charged under Georgia’s RICO Act. Here’s what that means",https://globalnews.ca/news/9898164/trump-georgia-indictment-rico/,negative,-0.6432497658977289,0.1306684911251068,0.812603235244751,0.05672826990485191,-0.6432497658977289
Global,2023-08-16,Guelph to host pop-up event on waste collection,https://globalnews.ca/news/9899412/guelph-pop-up-event-waste-collection/,neutral,-0.07830612426778227,0.29214856028556824,0.40454530715942383,0.30330613255500793,-0.07830612426778227
Global,2023-08-16,"Father charged with shooting driver who struck, killed his 17-year-old son in N.C.",https://globalnews.ca/news/9897081/father-charged-killing-driver-struck-son-north-carolina-chad-woods/,negative,-0.8077041134271866,0.049420930445194244,0.9000813961029053,0.05049764737486839,-0.8077041134271866
Global,2023-08-16,"Find $15B in spending cuts by October, Anand tells federal ministers",https://globalnews.ca/news/9898633/government-spending-cuts-ministers-anand/,negative,-0.7400064477414913,0.07730995118618011,0.8637032508850098,0.058986835181713104,-0.7400064477414913
Global,2023-08-16,Monster energy drinks recalled in Canada,https://globalnews.ca/video/9895074/monster-energy-drinks-recalled-in-canada/,negative,-0.9048717847913161,0.017326585948467255,0.9514052867889404,0.031268153339624405,-0.9048717847913161
Global,2023-08-16,Dealing with grass fires in and around Saskatoon,https://globalnews.ca/video/9899454/dealing-with-grass-fires-in-and-around-saskatoon/,negative,-0.4125496518818137,0.1357639878988266,0.6564918160438538,0.20774418115615845,-0.4125496518818137
Global,2023-08-16,LGBTQ policy in N.B. schools violates Charter rights of kids: child advocate,https://globalnews.ca/news/9897214/lgbtq-policy-in-n-b-schools-violates-charter-rights-of-kids-child-advocate/,negative,-0.9571814308730314,0.010863822884857655,0.9784168004989624,0.01071935798972845,-0.9571814308730314
Global,2023-08-16,"Inflation jumps to 3.3% in July, outside Bank of Canada’s target range",https://globalnews.ca/video/9897589/inflation-jumps-to-3-3-in-july-outside-bank-of-canadas-target-range/,negative,-0.7178853481263985,0.06916774809360504,0.8500997424125671,0.0807325690984726,-0.7178853481263985
Global,2023-08-16,Large evacuations proving difficult in Northwest Territories as wildfires rage,https://globalnews.ca/video/9898976/large-evacuations-proving-difficult-in-northwest-territories-as-wildfires-rage/,negative,-0.630741846215333,0.04643223434686661,0.7955487370491028,0.15801902115345,-0.630741846215333
Global,2023-08-16,"Trump, 18 others indicted in Georgia over alleged 2020 election interference",https://globalnews.ca/video/9897143/trump-18-others-indicted-in-georgia-over-alleged-2020-election-interference/,negative,-0.7575128603386085,0.09951969236135483,0.8760234117507935,0.02445688098669052,-0.7575128603386085
Global,2023-08-16,Calgary not-for-profit bridging employment barriers on the Bow River,https://globalnews.ca/video/9898912/calgary-not-for-profit-bridging-employment-barriers-on-the-bow-river/,positive,0.7183545330862338,0.8499927520751953,0.06428972631692886,0.08571749180555344,0.7183545330862338
Global,2023-08-16,Two new evacuation orders issued as record breaking temperatures fuel wildfires,https://globalnews.ca/news/9899215/new-evacuation-orders-heat-wave/,negative,-0.6721344750952329,0.05178064852952957,0.8214716911315918,0.12674769759178162,-0.6721344750952329
Global,2023-08-16,Metro says union refused request to meet amid ongoing grocery strike in the GTA,https://globalnews.ca/news/9898984/toronto-area-metro-union-refused-request-meet-amid-ongoing-strike/,negative,-0.8858324595005492,0.01900220848619938,0.9413784742355347,0.03961919620633125,-0.8858324595005492
Global,2023-08-16,Calgary introduces outdoor water restrictions in response to drought conditions,https://globalnews.ca/video/9898909/calgary-introduces-outdoor-water-restrictions-in-response-to-drought-conditions/,negative,-0.8113828054865406,0.03878212347626686,0.9016023874282837,0.059615496546030045,-0.8113828054865406
Global,2023-08-16,Inside the mind of King Henry VIII: Ottawa professor makes doodle discovery,https://globalnews.ca/video/9898978/inside-the-mind-of-king-henry-viii-ottawa-professor-makes-doodle-discovery/,neutral,-0.08422671368487977,0.37046948075294495,0.4706106185913086,0.15891994535923004,-0.08422671368487977
Global,2023-08-16,Alberta bound: thousands of Canadians flock to Alberta to live,https://globalnews.ca/video/9898946/alberta-bound-thousands-of-canadians-flock-to-alberta-to-live/,positive,0.4792414225468482,0.7042332887649536,0.129240483045578,0.16652622818946838,0.4792414225468482
Global,2023-08-16,Canadian military airlifting residents out of Northwest Territories amid wildfires,https://globalnews.ca/video/9897404/canadian-military-airlifting-residents-out-of-northwest-territories-amid-wildfires/,negative,-0.2628101350923413,0.25349536538124084,0.5719003677368164,0.17460425198078156,-0.2628101350923413
Global,2023-08-16,Canadian inflation jumps in July,https://globalnews.ca/video/9898994/canadian-inflation-jumps-in-july/,positive,0.8185552381711096,0.9058777093887329,0.045377444475889206,0.04874493181705475,0.8185552381711096
Global,2023-08-16,Yellowknife declares state of local emergency due to wildfires in Northwest Territories,https://globalnews.ca/news/9894731/wildfires-shut-evacuation-routes-out-of-nwt-towns-some-being-transported-by-air/,negative,-0.8116448661268585,0.03762160614132881,0.9016985297203064,0.0606798492372036,-0.8116448661268585
Global,2023-08-16,"Wolfe Islander IV carries vehicles, passengers on first test run",https://globalnews.ca/news/9898876/wolfe-islander-iv-test-run-vehicles-passengers/,positive,0.14751653807207887,0.4317220151424408,0.19714808464050293,0.3711298704147339,0.14751653807207887
Global,2023-08-16,"‘We’re blessed’: Canadian business owner living in Hawaii feels grief, gratitude",https://globalnews.ca/video/9898977/were-blessed-canadian-business-owner-living-in-hawaii-feels-grief-gratitude/,positive,0.9367033967757251,0.9678831696510315,0.009716440923511982,0.02240041457116604,0.9367033967757251
Global,2023-08-16,Fresh Take with Dani Guppy : Wednesday August 16,https://globalnews.ca/video/9899372/fresh-take-with-dani-guppy-wednesday-august-16/,positive,0.19625878561418286,0.4894692897796631,0.2081378847360611,0.3023928999900818,0.19625878561418286
Global,2023-08-16,Calgary Humane Society faces dire situation as only emergency surrenders accepted,https://globalnews.ca/video/9898924/calgary-humane-society-faces-dire-situation-as-only-emergency-surrenders-accepted/,negative,-0.898063790590991,0.011534679681062698,0.9477324485778809,0.04073282331228256,-0.898063790590991
Global,2023-08-16,Montreal researchers join international study of rare genetic disease Friedreich’s ataxia,https://globalnews.ca/news/9899437/montreal-research-friedreich-ataxia/,negative,-0.27613832171452635,0.2345285266637802,0.5754493474960327,0.19002212584018707,-0.27613832171452635
